№   Дата/время           Температура  Осадки (мм) 
1   2025-05-06T00:00     9.6          0.0         
2   2025-05-06T01:00     9.3          0.0         
3   2025-05-06T02:00     9.0          0.1         
4   2025-05-06T03:00     9.0          0.0         
5   2025-05-06T04:00     8.9          0.0         
6   2025-05-06T05:00     8.7          0.2         
7   2025-05-06T06:00     9.0          0.0         
8   2025-05-06T07:00     7.4          0.0         
9   2025-05-06T08:00     7.1          0.0         
10  2025-05-06T09:00     4.8          0.0         
11  2025-05-06T10:00     5.1          0.0         
12  2025-05-06T11:00     6.2          0.0         
13  2025-05-06T12:00     7.1          0.0         
14  2025-05-06T13:00     7.6          0.0         
15  2025-05-06T14:00     8.2          0.0         
16  2025-05-06T15:00     8.7          0.0         
17  2025-05-06T16:00     8.5          0.0         
18  2025-05-06T17:00     8.4          0.0         
19  2025-05-06T18:00     8.0          0.0         
20  2025-05-06T19:00     7.3          0.0         
21  2025-05-06T20:00     6.3          0.0         
22  2025-05-06T21:00     5.7          0.0         
23  2025-05-06T22:00     5.1          0.0         
24  2025-05-06T23:00     4.9          0.0         
